latitude,longitude,date,time
39.88,18.07,2023-07-18,1104
41.24,15.55,2023-07-18,1104
41.41,15.65,2023-07-18,1104
36.98,15.08,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.04,2023-07-18,1244
37.15,13.66,2023-07-18,1244
37.15,13.66,2023-07-18,1244
36.98,14.04,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
36.98,14.35,2023-07-18,1244
37.59,12.89,2023-07-18,1244
37.59,12.89,2023-07-18,1244
37.69,14.99,2023-07-18,1244
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
39.88,18.07,2023-07-18,1246
40.03,18.0,2023-07-18,1246
40.03,18.0,2023-07-18,1246
40.03,18.0,2023-07-18,1246
40.51,16.75,2023-07-18,1246
40.51,16.75,2023-07-18,1246
40.84,16.13,2023-07-18,1246
41.6,15.66,2023-07-19,1045
41.6,15.66,2023-07-19,1045
41.24,15.55,2023-07-19,1225
41.6,15.66,2023-07-19,1225
41.6,15.66,2023-07-19,1225
41.6,15.66,2023-07-19,1225
36.98,14.04,2023-07-20,1206
36.98,14.04,2023-07-20,1206
37.15,13.66,2023-07-20,1206
40.74,15.67,2023-07-21,1147
36.98,14.04,2023-07-21,1149
37.66,12.81,2023-07-22,147
37.66,12.81,2023-07-22,147
37.66,12.81,2023-07-22,147
37.94,15.71,2023-07-22,1128
37.94,15.71,2023-07-22,1128
37.94,15.71,2023-07-22,1128
36.98,14.04,2023-07-22,1310
